27,2024-07-13,松葉屋茶寮を『有吉くんの正直さんぽ』でご紹介いただきました,3,,1,<div style=""><font color="#222222"><span style="font-size: 13.3333px;">2024/7/13日放送の『有吉くんの正直さんぽ』にて、「個性溢れるおしゃれタウン南青山」の一つとして松葉屋茶寮をご紹介いただきました。</span></font></div><div style=""><font color="#222222"><span style="font-size: 13.3333px;"><br></span></font></div><div style=""><span id="docs-internal-guid-b9066e55-7fff-8762-86eb-2a1c5ced6ffd"><p dir="ltr" style="line-height:1.38;margin-top:0pt;margin-bottom:0pt;"><span style="font-size: 10pt; font-family: Arial__kanma__ sans-serif; color: rgb(17__kanma__ 85__kanma__ 204); background-color: transparent; font-variant-numeric: normal; font-variant-east-asian: normal; font-variant-alternates: normal; font-variant-position: normal; text-decoration-line: underline; text-decoration-skip-ink: none; vertical-align: baseline; white-space-collapse: preserve;">https://www.fujitv.co.jp/burabura/_basic/backnumber/index-630.html</span></p></span></div><div style="color: rgb(34__kanma__ 34__kanma__ 34); font-size: 10pt;"><br></div>,1,
26,2024-06-21,松葉屋茶寮が古道具・現代アート・器・一点家具の展示販売を行う『方舟 hakobune GALLERY』 が公式ECサイトをオープン,4,,1,松葉屋茶寮では、<u>日本の伝統技法や独自の文化によって創り出された古道具や骨董、器、現代アート</u>を展示販売する「方舟 hakobune GALLERY」を併設しています。	撮影 @ryokawanophoto&nbsp;<div><br></div><div>&nbsp;<b>この度、<u>「方舟 hakobune GALLERY」の公式ECサイトを開設</u>したことをお知らせします。&nbsp;</b></div><div><br></div><div>【<b>方舟 hakobune GALLERY】公式ECサイト：<a href="https://hkbn.jp/">https://hkbn.jp/</a></b></div>	<b style="">◆ <u>古道具・骨董 </u></b><div><b>歴史を刻んだ道具、民芸品、骨董品など一度は役目を終えたものの、時を超えて愛され続けてきた品々</b>が日本各地に眠っています。 </div><div>そうした作品に<b>現代の生活様式に適った修繕を施す</b>ことで、<b>独自のストーリーや美しさを感じられつつもどこか新しさを纏った一品</b>へと昇華させています。 </div><div>この活動を通じて<b>過去の知恵と技術を次の世代へ継承</b>していきます。</div>	<b>◆ <u>現代アート・器</u></b><div>現代では稀有な存在となった、<b>日本の伝統技術を継承する作家や職人が今の時代を感じながら創り出した現代アートや器</b>も取り扱っています。 </div><div>独自性のある世界観の発信によってインバウンド効果を最大化し、<b>国際社会における日本文化の新たな市場創出</b>も目指します。</div>	<b>◆ <u>hakobune FURNITURE</u></b><div>古道具や骨董品を再利用した家具は、hakobune FURNITUREの特徴です。これら<b>一点物の家具は、新たな形として再生</b>され、現代のインテリアに溶け込みます。</div><div>自然の素材を活かし、<b>サステナブルな生活を実現するための至高の逸品</b>を提供します。</div><div><br></div><div><b><u>『方舟 hakobune GALLERY』で、新たな発見と出会いをお楽しみください。</u></b> </div><div><br></div><div><b>【松葉屋茶寮 & 方舟 hakobune GALLERY】</b></div><div><b>東京都港区南青山5-4-27 Barbizon104 1F </b></div><div><b>OPEN 10:00  CLOSE 20:00 </b></div><div><br></div><div><b><u>方舟 hakobune GALLERY 公式ECサイト</u>：<a href="https://hkbn.jp/">https://hkbn.jp/</a> </b></div><div><b><u>Instagram</u>：<a href="https://www.instagram.com/hakobune.gallery/">https://www.instagram.com/hakobune.gallery/ </a></b></div><div><br></div><div><b><u>松葉屋茶寮 公式URL</u>：<a href="https://mtbysr.jp/">https://mtbysr.jp/</a> </b></div><div><b><u>Instagram</u>：<a href="https://www.instagram.com/matsubayasaryo/">https://www.instagram.com/matsubayasaryo/</a></b><br><br></div><div><b>【株式会社 グラッシーズ】 </b></div><div><b>東京都港区南青山5−4−27 Barbizon104 6F</b></div><div><b>代表取締役 芝 幸太郎</b></div>,1,
25,2024-01-25,トークイベント『盆栽と医療から考察する究極のメディテーションとは』を開催しました,1,,1,松葉屋茶寮では、TRADMAN'S BONSAI代表の小島鉄平氏と、脳神経外科医師であり環境宇宙航空医学認定医でもある道下将太郎医師との特別なトークイベントを開催しました。<br>このイベントは、医療と盆栽を通じて心と体の癒しについて深く探求する機会となりました。<br><br>小島氏は、松葉屋茶寮の盆栽監修を手掛けており、盆栽に対する深い愛情と、盆栽と向き合う時間が心にもたらす平穏について熱く語りました。<br>道下医師は、医学的視点から脳波とメディテーションの関係を解説し、特に禅の思想と医療の結びつきについての見解を提供していただきました。<br><br>また、道下医師は2月1日から始まる松葉屋茶寮内の新しいメディテーションルーム「緑閑庵・ROKKAN AN」の監修も務めています。ここでは、道下医師監修の下、脳波診断に基づいたパーソナライズされた音楽、"YAKUZEN ONGAKU"を通じて、訪れる方々に心身のリラクゼーション・サウンドトリートメントを提供します。<br><br>このイベントを通じて、医療と伝統文化から新たな癒しの方法を学び、日常生活におけるメディテーションの重要性を再認識しました。<br><br>松葉屋茶寮では、このような独創的で深い学びの場を提供することで、訪れる方々に心の豊かさをもたらすことを目指してまいりますので、引き続きどうぞよろしくお願い申し上げます。	<div class="philosophy-section">    <div class="second-section">        <div class="content-out-wrapper">            <div class="photo-section gray-scale">                <div class="inner-wrapper">                    <div class="photo-view-box" id="photo-view-box">                        <div class="slider">                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240125/01.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240125/02.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240125/03.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240125/04.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240125/05.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240125/06.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240125/07.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240125/08.jpg" alt="img"></picture>                            </div>                        </div>                        <div class="thumbnail">                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240125/01_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240125/02_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240125/03_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240125/04_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240125/05_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240125/06_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240125/07_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240125/08_thumb.jpg" alt="img">                            </div>                        </div>                    </div>                </div>            </div>        <small><div style="text-align: center;"><span style="font-size: 10pt;">Photos: Ryo Kawano</span></div></small>,1,
24,2024-02-29,トークイベント『心に響く茶の湯日本文化とマインドフルネスの融合』を開催しました,1,,1,今回のイベントでは、株式会社TeaRoom代表取締役/茶道裏千家準教授の岩本涼氏と脳神経外科医の道下将太郎氏をゲストに迎え、茶の湯の美学とマインドフルネスがどのように精神的健康と内面の豊かさに貢献するかが深掘りされました。<br><br>岩本氏の茶の湯に対する深い知識と道下氏の医学的専門知識が組み合わさることで、心と体のバランスを整える古典的な方法と現代科学の融合が示されたと感じています。<br><br>日々の生活においてマインドフルネスを取り入れ、精神的な健康を向上させる方法について学び、忙しい現代社会において、自身の内面と向き合う価値を再確認しました。	<div class="philosophy-section">    <div class="second-section">        <div class="content-out-wrapper">            <div class="photo-section gray-scale">                <div class="inner-wrapper">                    <div class="photo-view-box" id="photo-view-box">                        <div class="slider">                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240229/01.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240229/02.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240229/03.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240229/04.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240229/05.jpg" alt="img"></picture>                            </div>                        </div>                        <div class="thumbnail">                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240229/01_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240229/02_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240229/03_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240229/04_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240229/05_thumb.jpg" alt="img">                            </div>                        </div>                    </div>                </div>            </div>        <small><div style="text-align: center;"><span style="font-size: 10pt;">Photos: Ryo Kawano</span></div></small>,1,
23,2024-03-21,トークイベント『医者と僧侶が考えるwell-beingとは』を開催しました,1,,1,今回のトークイベントでは、伊藤東陵氏と道下将太郎氏には、心身の健康と豊かな生き方に関する洞察と知恵を共有していただきました。<br><br>禅の静寂と医療の知識が交わるこの場で、私たちは自分自身と向き合い、内面の平和を見つめ直す貴重な時間を共有出来ましたことを、心から嬉しく思います。<br><br>今後もこのような有意義な対話が続くことを願いつつ、皆様に心からの感謝を申し上げます。	<div class="philosophy-section">    <div class="second-section">        <div class="content-out-wrapper">            <div class="photo-section gray-scale">                <div class="inner-wrapper">                    <div class="photo-view-box" id="photo-view-box">                        <div class="slider">                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240321/01.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240321/02.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240321/03.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240321/04.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240321/05.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240321/06.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240321/07.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240321/08.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240321/09.jpg" alt="img"></picture>                            </div>                        </div>                        <div class="thumbnail">                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240321/01_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240321/02_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240321/03_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240321/04_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240321/05_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240321/06_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240321/07_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240321/08_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240321/09_thumb.jpg" alt="img">                            </div>                        </div>                    </div>                </div>            </div>        <small><div style="text-align: center;"><span style="font-size: 10pt;">Photos: Ryo Kawano</span></div></small>,1,
22,2024-04-09,トークイベント『発酵と腸内環境、最先端予防医療を知る』を開催しました,1,,1,株式会社福光屋の福光太一郎さんと脳神経外科医師の道下将太郎先生によるトークイベントでは、食の安全性、発酵の効果、そしてそれらが健康に及ぼす影響について議論しました。<br><br>発酵食品が腸内フローラと健康に与える利益に焦点を当て、予防医療の進歩とその生活への応用についても丁寧にご説明いただいております。<br><br>幅広い世代の方に有益な数々のエピソードを是非ともご視聴くださいませ。	<div class="philosophy-section">    <div class="second-section">        <div class="content-out-wrapper">            <div class="photo-section gray-scale">                <div class="inner-wrapper">                    <div class="photo-view-box" id="photo-view-box">                        <div class="slider">                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240409/01.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240409/02.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240409/03.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240409/04.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240409/05.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240409/06.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240409/07.jpg" alt="img"></picture>                            </div>                        </div>                        <div class="thumbnail">                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240409/01_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240409/02_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240409/03_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240409/04_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240409/05_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240409/06_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240409/07_thumb.jpg" alt="img">                            </div>                        </div>                    </div>                </div>            </div>        <small><div style="text-align: center;"><span style="font-size: 10pt;">Photos: Ryo Kawano</span></div></small>,1,
21,2024-06-12,トークイベント『日本の歴史的美意識になぞる革新』を開催しました,1,,1,TRADMAN′S BONSAI 代表 小島鉄平氏と日本草木研究所 代表 古谷知華さんをトークゲスト、脳神経外科医師 道下将太郎先生をファシリテーターとしてお迎えし、植物を通して知る日本の歴史や美意識、自然との関わり方についてお話しいただきました。<br><br>小島氏と古谷さんは、それぞれの専門分野から独自の視点で日本の美意識や植物文化の魅力を語り、道下先生の巧みなファシリテーションによって、会場全体が深い理解と共感を得る場となりました。<br><br>このようなイベントを通じて、私たちは日本の伝統文化と現代の革新を結びつけ、新たな価値を創造することの重要性を改めて実感いたしました。<br>ご参加いただいた皆様に心より感謝申し上げます。<br><br>今後もこのような有意義なイベントを企画し、皆様と共に日本の文化と美意識を深めていきたいと考えております。<br><br>引き続き、温かいご支援とご協力を賜りますようお願い申し上げます。	<div class="philosophy-section">                          <div class="second-section">              <div class="content-out-wrapper">                              <div class="photo-section gray-scale">              <div class="inner-wrapper">                <div class="photo-view-box" id="photo-view-box">                                                <div class="slider">                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240613/01.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240613/02.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240613/03.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240613/04.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240613/05.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240613/06.jpg" alt="img"></picture>                            </div>                            <div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240613/07.jpg" alt="img"></picture>                            </div><div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240613/08.jpg" alt="img"></picture>                            </div><div class="slick-img">                                <picture><img class="img" src="https://mtbysr.jp/assets/images/news/20240613/09.jpg" alt="img"></picture>                            </div>                        </div>                        <div class="thumbnail">                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240613/01_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240613/02_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240613/03_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240613/04_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240613/05_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240613/06_thumb.jpg" alt="img">                            </div>                            <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240613/07_thumb.jpg" alt="img">                            </div>                <div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240613/08_thumb.jpg" alt="img">                            </div><div class="thumbnail-img">                                <img class="img" src="https://mtbysr.jp/assets/images/news/20240613/09_thumb.jpg" alt="img">                            </div></div>                                        </div>                  </div>                 </div>                                </div>            </div>          </div><small><div style="text-align: center;"><span style="font-size: 10pt;">Photos: Ryo Kawano</span></div></small>,1,
20,2024-06-07,BOTTEGA VENETAイベント,2,,1,6月5日(水) から6月7日<span style="font-size: 13.3333px;">(金) </span>まで、BOTTEGA VENETA銀座フラッグシップストアでイベントを開催しました。<div><br></div>	<p style="margin: 0px;"><b style=""><font size="4">美とクラフトマンシップの探求</font></b></p><p style="font-size: 10pt; margin: 0px;">このイベントでは、BOTTEGA VENETAのお客様に日本の古典美と禅の哲学を体験していただくために、お茶の作法や茶道具の扱い方、"みたて"（物や現象の見立て方）を学ぶ特別な企画を提供しました。</p><p style="font-size: 10pt; margin: 0px;"><br></p>	BOTTEGA VENETA製品の独自性と品質を、豊かな文化的背景の中で共鳴させ、新たな発想とモノの捉え方を体感いただきました。<div><br></div>	お客様ご自身で一服を点てる体験を通じて、日本文化の精緻さと心の静けさを感じていただくために、今回のイベントでは骨董通りの松葉屋茶寮を離れ、新しい形の茶会を提供しました。,1,
19,2024-06-04,トークイベント『日本の歴史的美意識になぞる革新』,1,,1,<div style="text-align: center;"><b><font size="4">小島 鉄平　✕　古谷 知華</font></b></div><div style="text-align: center;"><span style="font-size: 10pt;">伝統的な日本の美意識や価値観を<br class="br_sp">尊重しながらも、<br class="br_pc">現代的な新しさや創造性を<br class="br_sp">加えた取り組みをテーマ<br class="br_pc">にトークイベントを<br class="br_sp">開催いたします。</span></div>	<div style="text-align: center;"><b style="font-size: 10pt;">2024__kanma__6__kanma__11 Thu.　18:30 - 19: 30 </b></div><div style="text-align: center;"><b style="font-size: 10pt;"><br></b></div><div style="text-align: center;"><b style="font-size: 10pt;">限定30名様　</b><b style="font-size: 10pt;">先着順　</b><b style="font-size: 10pt;">参加費 無料 </b></div><div style="text-align: center;"><span style="font-size: 10pt;">Instagram DMにて参加人数と代表者様のフルネームを記入してお申し込みください。</span></div><div style="text-align: center;"><span style="font-size: 10pt;"><b>オフィシャルインスタグラム：</b>https://www.instagram.com/matsubayasaryo/</span></div>,1,
18,2024-05-07,松葉屋茶寮を『ENGINE』で掲載いただきました,3,,1,『ENGINE』にて「外からは何の店だか分からない？　ぜひお気に入りの場所にしたい！　東京・青山の和カフェ「松葉屋茶寮」で味わう最高の贅沢」としてご紹介いただきました。<div><br></div><div><a href="https://engineweb.jp/article/detail/3350197">https://engineweb.jp/article/detail/3350197</a></div>,1,
17,2024-02-28,松葉屋茶寮を『Numero TOKYO』4月号で掲載いただきました,3,,1,Numero TOKYO 2024年 ４月号 [扶桑社]<div>「続・ハニカミ日記（P21）」で、松葉屋茶寮が紹介されました。&nbsp;<div><br></div><div><a href="https://numero.jp/magazine175/">https://numero.jp/magazine175/</a></div></div>,1,
